Date,Date_YMD,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
23-Jan-21,23-01-2021,Confirmed,14896,1,158,1,19,149,22,377,0,0,197,85,423,136,27,94,78,902,6960,2,7,291,2697,17,4,0,4,130,36,211,203,5,586,221,2,319,122,410,0
23-Jan-21,23-01-2021,Recovered,16033,0,172,1,94,203,31,637,0,0,367,63,702,158,73,88,177,542,5283,8,0,454,3694,18,10,2,4,205,27,232,472,10,673,431,3,513,212,474,0
23-Jan-21,23-01-2021,Deceased,156,0,1,0,0,4,1,8,0,0,10,3,1,4,1,1,1,3,23,0,0,6,56,0,0,0,0,1,1,10,2,1,2,2,0,4,0,10,0
24-Jan-21,24-01-2021,Confirmed,13232,0,158,1,16,131,32,298,0,0,185,53,410,128,21,73,54,573,6036,12,0,252,2752,16,5,2,0,150,30,197,167,3,569,197,0,268,54,389,0
24-Jan-21,24-01-2021,Recovered,13148,1,155,20,99,267,22,366,2,0,315,102,704,175,52,73,109,401,5173,9,0,388,1743,11,16,5,1,182,43,232,468,9,642,376,0,508,25,454,0
24-Jan-21,24-01-2021,Deceased,131,0,0,0,1,3,1,8,0,0,9,0,1,1,2,0,2,4,20,0,0,3,45,0,0,0,0,1,1,2,0,1,7,1,0,8,2,8,0
25-Jan-21,25-01-2021,Confirmed,9098,1,56,1,25,82,61,484,0,0,148,57,390,118,35,64,74,375,3361,0,10,200,1842,11,2,0,3,130,18,159,193,1,540,148,1,194,62,252,0
25-Jan-21,25-01-2021,Recovered,16092,9,141,4,83,222,54,539,1,0,190,113,707,247,63,83,122,1036,5606,11,0,861,3080,26,9,9,10,140,26,258,370,13,627,302,3,456,254,417,0
25-Jan-21,25-01-2021,Deceased,116,0,2,0,0,4,0,13,0,0,5,1,3,4,0,0,1,3,17,0,0,2,30,0,0,0,0,1,0,5,2,0,4,1,0,7,4,7,0
26-Jan-21,26-01-2021,Confirmed,12733,0,172,1,8,160,0,321,1,0,157,70,380,96,12,74,65,529,6293,1,2,228,2405,6,6,5,2,99,32,129,125,6,523,189,1,301,39,295,0
26-Jan-21,26-01-2021,Recovered,13250,0,203,2,89,170,0,182,1,0,218,62,637,190,59,54,65,738,5290,4,0,515,2106,21,12,2,3,143,17,164,257,17,595,349,5,569,102,409,0
26-Jan-21,26-01-2021,Deceased,138,0,1,0,1,3,0,14,0,0,7,1,2,0,0,1,0,4,19,0,0,2,47,0,0,0,0,0,0,11,0,0,5,2,0,8,1,9,0
27-Jan-21,27-01-2021,Confirmed,11556,0,111,3,17,86,40,439,1,0,96,53,353,87,39,77,70,428,5659,0,0,185,2171,4,1,3,2,138,24,188,134,1,512,147,0,168,85,234,0
27-Jan-21,27-01-2021,Recovered,14261,5,97,2,94,710,37,944,0,0,212,90,462,117,68,129,117,760,5006,3,0,345,2556,13,10,6,40,108,36,204,305,3,564,399,4,333,96,386,0
27-Jan-21,27-01-2021,Deceased,123,0,2,0,2,4,0,3,0,0,9,0,1,0,1,1,2,3,20,0,0,6,32,1,0,0,0,0,1,10,1,0,8,1,0,4,3,8,0
28-Jan-21,28-01-2021,Confirmed,18912,0,117,3,29,134,36,6451,0,0,199,85,346,97,60,63,62,550,5771,17,0,226,2889,15,8,3,1,113,39,200,85,5,503,186,0,248,82,289,0
28-Jan-21,28-01-2021,Recovered,20315,2,128,3,95,281,24,6479,0,0,119,52,602,111,52,149,112,644,5594,2,0,321,3181,23,7,7,5,132,29,192,188,3,544,306,3,380,178,367,0
28-Jan-21,28-01-2021,Deceased,162,0,0,0,0,2,0,35,0,0,6,2,2,0,0,1,3,2,19,0,0,3,50,0,0,0,0,0,1,9,2,0,6,1,0,6,3,9,0
29-Jan-21,29-01-2021,Confirmed,13054,0,125,0,20,121,27,370,1,0,249,78,335,107,44,76,45,468,6268,9,1,171,2771,15,4,1,4,70,31,254,103,1,509,197,2,213,78,286,0
29-Jan-21,29-01-2021,Recovered,14886,3,175,2,102,278,26,455,0,0,267,103,463,154,40,215,86,607,6398,4,14,297,2613,25,11,5,3,157,27,208,265,8,531,356,2,521,116,349,0
29-Jan-21,29-01-2021,Deceased,137,0,0,0,0,3,0,7,0,0,6,1,1,1,0,1,1,2,22,0,0,3,56,1,0,0,0,0,0,11,2,0,6,2,0,4,0,7,0
30-Jan-21,30-01-2021,Confirmed,13073,0,129,1,29,123,17,413,0,0,183,93,323,97,94,76,49,464,6282,5,9,219,2630,15,8,3,2,108,43,224,104,3,505,186,2,242,82,310,0
